dt,ts,lat,lng,thoroughfare,place_name
2017-06-29,1498768417617,-8.038934,-34.889674,"Av Norte, ~2153",Renault Regence
2017-06-26,1498504459788,-8.10846,-34.911627,"Avenida Marechal  Mascarenhas Morais, 2931 em Imbiribeira",Imbrablindados Serviços de Blindagem
2017-06-23,1498198760842,-8.132516,-34.918345,Rua Desembarque Aeroporto,Pass Garagge
2017-06-30,1498850660585,-8.133227,-34.900992,Rua Doutor Vicente Gomes,Reparo Veículos
2017-06-19,1497884466051,-8.030115,-34.906572,Rua São Vicente,Moto Pecas Norte
2017-06-10,1497101074141,-8.086605,-34.947733,"R. Manuel Inácio, 14",Jato Autopeças e Serviços
2017-06-13,1497370537090,-8.061123,-34.905507,Avenida Engenheiro Abdias de Carvalho,Paulo Peças 
2017-06-13,1497357863981,-8.081901,-34.904708,Rua Francisco Silveira,Target Recife Blindados
2017-06-25,1498353599204,-8.109961,-34.918442,"Rua Jean Emile Favre, 965 lj 3 em IPSEP",Fenix Auto Peças e Serviços
2017-06-14,1497478317190,-8.062625,-34.913889,Avenida Engenheiro Abdias de Carvalho,Granvia Ford
2017-06-17,1497702534346,-8.066911,-34.908341,Estrada dos Remédios,Citroën L'equipe
2017-06-26,1498477498868,-8.132228,-34.918421,Rua Desembarque Aeroporto,Pass Garagge
2017-06-19,1497885984892,-8.116034,-34.914104,Rua Jornalista Cleofas de Oliveira,Taranto Comercial Importadora e Exportadora
2017-06-27,1498534506283,-8.043506,-34.930569,2A Travessa Onze de Agosto,Stilo Pecas e Servic
2017-06-15,1497567255325,-8.043729,-34.907617,"R. José Bonifácio, 874",Recife Honda
2017-06-17,1497715963285,-8.030182,-34.910343,"Rua Neil Armstrong, 92 em Casa Amarela",Moto Show
2017-06-30,1498822660835,-8.055033,-34.909728,Rua Manuel Bezerra,Mult Peças & Serviços
2017-06-22,1498146081851,-8.104535,-34.910611,Rua Almeida Júnior,Maravilha Motos
2017-06-28,1498635249171,-8.131867,-34.917591,Rua Desembarque Aeroporto,Pass Garagge
2017-06-07,1496831648712,-8.039584,-34.891253,Avenida Norte Miguel Arraes de Alencar,América Ford
2017-06-22,1498160398782,-8.086628,-34.893666,Avenida República Árabe Unida,Recife Motor
2017-06-28,1498596186499,-8.002494,-34.8579,"Av Pan Nordestina, ~2106",Chevrolet Hall
2017-06-26,1498472706303,-8.112911,-34.911893,"Rua Itapagipe, 51 em Imbiribeira",Via Norte
2017-06-12,1497285680566,-8.034806,-34.907574,Avenida Parnamirim,Bremen
2017-06-23,1498285576086,-8.135414,-34.943642,Rua Toritama,Ana K Auto Peças e Serviços
2017-06-27,1498603013087,-8.049392,-34.906884,Rua José Bonifácio,Baterias Moura ( Caxanga )
2017-06-05,1496704792576,-8.045942,-34.890509,Avenida Governador Agamenon Magalhães,Via Norte Auto Peças
2017-06-17,1497012010080,-8.085927,-34.886383,"Rua Buíque, 640 lj 5 em Pina",Jorge Som e acessórios
2017-06-29,1498752813914,-8.1049,-34.889766,Avenida Engenheiro Domingos Ferreira,Meira Lins (volkswagen)
2017-06-09,1497028754471,-8.092845,-34.908777,Avenida Marechal Mascarenhas de Morais,Automax Serviços Automotivos
2017-06-13,1497353630072,-8.052236,-34.918496,Avenida Caxangá,Motoshop-Concessionária Honda
2017-06-07,1496850534126,-8.048845,-34.901811,Rua Dom Sebastião Leme,Cia do Automóvel
2017-06-15,1497568414683,-8.062038,-34.937172,Rua 14 de Março,Recife Chopp
2017-06-14,1497456549875,-8.099873,-34.909492,Fórum Des. Benildes de Souza Ribeiro,Recife Harley-Davidson
2017-06-16,1497654234578,-8.037102,-34.945714,Rua General Polidoro,Italiana (Fiat)
2017-06-21,1498066304220,-8.063656,-34.89484,Rua Estado de Israel,Lima & Martinez Corretora de Seguros
2017-06-15,1497538214909,-8.072539,-34.909125,Rua Cosme Viana,Pedragon
2017-06-23,1498229297772,-8.132409,-34.918324,Rua Desembarque Aeroporto,Pass Garagge
2017-06-22,1498150779923,-8.030104,-34.892384,Rua Mem de Sá,Lojao do Petroleo
2017-06-22,1498090721112,-8.031527,-34.902586,Rua Cônego Barata,Marcio José
2017-06-10,1497105120814,-8.114541,-34.913972,Rua Jaçanã,Via Norte
2017-06-12,1497306599408,-8.087114,-34.931409,Avenida Doutor José Rufino,Floresta Auto Peças
2017-06-29,1498325757205,-8.159124,-34.913141,"Av Ayrton Senna, 03",Poliroda Acessórios
2017-06-07,1496776953416,-8.115887,-34.913961,"Rua Jornalista  Cleofas Oliveira, 200 em Imbiribeira",Taranto Comercial Importadora e Exportadora
2017-06-22,1498168591735,-8.050562,-34.900378,Rua da Amizade,Fabio Pecas e Servic
2017-06-23,1498220206278,-8.059925,-34.939735,Rua Treze de Março,Ligue Peças 
2017-06-23,1498155786661,-8.132269,-34.918378,Piso de Embarque,Pass Garagge
2017-06-19,1497885317788,-8.042433,-34.935189,PE-005,Mega Veículos
2017-06-19,1497869471546,-8.085119,-34.886997,Avenida Antônio de Goes,Sael - Recife
2017-06-17,1497663936963,-8.087004,-34.88357,Rua Sorriso de Maria,J L Bike
2017-06-29,1498675460441,-8.063709,-34.909494,"Rua João Ivo Silva, 220",Fiori
2017-06-10,1497105147697,-8.106555,-34.911893,"Avenida Marechal Mascarenhas Morais, 2508 em Imbiribeira",Pneuac
2017-06-09,1497026664860,-8.046912,-34.877762,Avenida Norte Miguel Arraes de Alencar,Volkswagen do Brasil Ltda-Centro de Treinamento
2017-06-26,1498445239025,-8.159139,-34.913143,Avenida Ayrton Senna da Silva,Poliroda Acessórios
2017-06-10,1497020002592,-8.103575,-34.927931,Avenida Recife,São Paulo Veículos
2017-06-22,1498143553461,-8.044236,-34.881555,Avenida Norte Miguel Arraes de Alencar,Sol Auto Peças
2017-06-21,1498005561231,-8.044871,-34.880066,"Avenida Norte Miguel Arraes de Alencar, 866 em Santo Amaro",Adelmo Auto Serviços
2017-06-20,1497957926231,-8.107863,-34.911538,Avenida Marechal Mascarenhas de Morais,Troller
2017-06-21,1498073316963,-8.002474,-34.857922,"Av Pan Nordestina, ~2106",Chevrolet Hall
2017-06-14,1497458422348,-8.104945,-34.889583,"Av Eng. Domingos Ferreira, 1653",Meira Lins (volkswagen)
2017-06-29,1498749928210,-8.067767,-34.909577,Rua Cosme Viana,Imbiribeira Veiculos
2017-06-22,1498149102635,-8.132542,-34.912992,Rua Doutor Luiz Correia de Oliveira,Aero Veiculos
2017-06-06,1496757943179,-8.047002,-34.927286,Avenida Caxangá,Rêgo Barros Automóveis
